"Date","Contract","Hours","Amount","Payment Type"
"2022-09-02","Build SMS Bot With Twilio (31353792)","6.333333","",""
"2022-09-05","Build SMS Bot With Twilio (31353792)","8.333333","",""
"2022-09-06","Build SMS Bot With Twilio (31353792)","8","",""
"2022-09-07","Build SMS Bot With Twilio (31353792)","8.333333","",""
"2022-09-08","Build SMS Bot With Twilio (31353792)","8","",""
"2022-09-09","Build SMS Bot With Twilio (31353792)","7.333333","",""
"2022-09-12","Build SMS Bot With Twilio (31353792)","8.166667","",""
"2022-09-13","Build SMS Bot With Twilio (31353792)","8.166667","",""
"2022-09-14","Build SMS Bot With Twilio (31353792)","8","",""
"2022-09-15","Build SMS Bot With Twilio (31353792)","7.5","",""
"2022-09-16","Build SMS Bot With Twilio (31353792)","3","",""
"2022-09-19","Build SMS Bot With Twilio (31353792)","5","",""
"2022-09-27","Build SMS Bot With Twilio (31353792)","4.833333","",""
"2022-09-28","Build SMS Bot With Twilio (31353792)","5.333333","",""
"2022-09-29","Build SMS Bot With Twilio (31353792)","8.166667","",""
"2022-09-30","Build SMS Bot With Twilio (31353792)","6.166667","",""